feature,label,decile,risk_rate,risk_count,states
predicted_selected_switch_gain,harmful_H0,0,0.0,0,2547
predicted_selected_switch_gain,harmful_H0,1,0.0,0,2547
predicted_selected_switch_gain,harmful_H0,2,0.0,0,2547
predicted_selected_switch_gain,harmful_H0,3,0.018060463290145268,46,2547
predicted_selected_switch_gain,harmful_H0,4,0.1464468001570475,373,2547
predicted_selected_switch_gain,harmful_H0,5,0.2199528672427337,560,2546
predicted_selected_switch_gain,harmful_H0,6,0.17432273262661954,444,2547
predicted_selected_switch_gain,harmful_H0,7,0.23282292893600315,593,2547
predicted_selected_switch_gain,harmful_H0,8,0.4059678052610915,1034,2547
predicted_selected_switch_gain,harmful_H0,9,0.46996466431095407,1197,2547
predicted_selected_switch_gain,harmful_H50,0,0.0,0,2547
predicted_selected_switch_gain,harmful_H50,1,0.0,0,2547
predicted_selected_switch_gain,harmful_H50,2,0.0,0,2547
predicted_selected_switch_gain,harmful_H50,3,0.010208087946603848,26,2547
predicted_selected_switch_gain,harmful_H50,4,0.13388299960738123,341,2547
predicted_selected_switch_gain,harmful_H50,5,0.1838177533385703,468,2546
predicted_selected_switch_gain,harmful_H50,6,0.13466823714173537,343,2547
predicted_selected_switch_gain,harmful_H50,7,0.18884962701217117,481,2547
predicted_selected_switch_gain,harmful_H50,8,0.3309776207302709,843,2547
predicted_selected_switch_gain,harmful_H50,9,0.3902630545740086,994,2547
predicted_selected_switch_gain,harmful_H95,0,0.0,0,2547
predicted_selected_switch_gain,harmful_H95,1,0.0,0,2547
predicted_selected_switch_gain,harmful_H95,2,0.0,0,2547
predicted_selected_switch_gain,harmful_H95,3,0.0,0,2547
predicted_selected_switch_gain,harmful_H95,4,0.06949352179034157,177,2547
predicted_selected_switch_gain,harmful_H95,5,0.10761979575805185,274,2546
predicted_selected_switch_gain,harmful_H95,6,0.053788771103258734,137,2547
predicted_selected_switch_gain,harmful_H95,7,0.05496662740478995,140,2547
predicted_selected_switch_gain,harmful_H95,8,0.027875932469572047,71,2547
predicted_selected_switch_gain,harmful_H95,9,0.011778563015312132,30,2547
predicted_selected_switch_gain,missed_helpful_switch_gt_delta95,0,0.011778563015312132,30,2547
predicted_selected_switch_gain,missed_helpful_switch_gt_delta95,1,0.008244994110718492,21,2547
predicted_selected_switch_gain,missed_helpful_switch_gt_delta95,2,0.0027483313702394976,7,2547
predicted_selected_switch_gain,missed_helpful_switch_gt_delta95,3,0.03219473890851983,82,2547
predicted_selected_switch_gain,missed_helpful_switch_gt_delta95,4,0.0,0,2547
predicted_selected_switch_gain,missed_helpful_switch_gt_delta95,5,0.0,0,2546
predicted_selected_switch_gain,missed_helpful_switch_gt_delta95,6,0.0,0,2547
predicted_selected_switch_gain,missed_helpful_switch_gt_delta95,7,0.0,0,2547
predicted_selected_switch_gain,missed_helpful_switch_gt_delta95,8,0.0,0,2547
predicted_selected_switch_gain,missed_helpful_switch_gt_delta95,9,0.0,0,2547
tree_argmin_disagreement,harmful_H0,0,0.2709120345385861,2008,7412
tree_argmin_disagreement,harmful_H0,1,0.1932059447983015,364,1884
tree_argmin_disagreement,harmful_H0,2,0.16063675832127353,222,1382
tree_argmin_disagreement,harmful_H0,3,0.150188679245283,398,2650
tree_argmin_disagreement,harmful_H0,4,0.13818181818181818,304,2200
tree_argmin_disagreement,harmful_H0,5,0.18486707566462168,452,2445
tree_argmin_disagreement,harmful_H0,6,0.15581773799837267,383,2458
tree_argmin_disagreement,harmful_H0,7,0.034262948207171316,86,2510
tree_argmin_disagreement,harmful_H0,8,0.011867088607594937,30,2528
tree_argmin_disagreement,harmful_H50,0,0.24257960064759848,1798,7412
tree_argmin_disagreement,harmful_H50,1,0.160828025477707,303,1884
tree_argmin_disagreement,harmful_H50,2,0.12590448625180897,174,1382
tree_argmin_disagreement,harmful_H50,3,0.10943396226415095,290,2650
tree_argmin_disagreement,harmful_H50,4,0.09954545454545455,219,2200
tree_argmin_disagreement,harmful_H50,5,0.15010224948875256,367,2445
tree_argmin_disagreement,harmful_H50,6,0.12571196094385678,309,2458
tree_argmin_disagreement,harmful_H50,7,0.012749003984063745,32,2510
tree_argmin_disagreement,harmful_H50,8,0.0015822784810126582,4,2528
tree_argmin_disagreement,harmful_H95,0,0.09646519158121965,715,7412
tree_argmin_disagreement,harmful_H95,1,0.022292993630573247,42,1884
tree_argmin_disagreement,harmful_H95,2,0.015918958031837915,22,1382
tree_argmin_disagreement,harmful_H95,3,0.00830188679245283,22,2650
tree_argmin_disagreement,harmful_H95,4,0.005,11,2200
tree_argmin_disagreement,harmful_H95,5,0.0057259713701431495,14,2445
tree_argmin_disagreement,harmful_H95,6,0.0012205044751830757,3,2458
tree_argmin_disagreement,harmful_H95,7,0.0,0,2510
tree_argmin_disagreement,harmful_H95,8,0.0,0,2528
tree_argmin_disagreement,missed_helpful_switch_gt_delta95,0,0.0018888289260658392,14,7412
tree_argmin_disagreement,missed_helpful_switch_gt_delta95,1,0.0031847133757961785,6,1884
tree_argmin_disagreement,missed_helpful_switch_gt_delta95,2,0.002894356005788712,4,1382
tree_argmin_disagreement,missed_helpful_switch_gt_delta95,3,0.0030188679245283017,8,2650
tree_argmin_disagreement,missed_helpful_switch_gt_delta95,4,0.005454545454545455,12,2200
tree_argmin_disagreement,missed_helpful_switch_gt_delta95,5,0.0016359918200408998,4,2445
tree_argmin_disagreement,missed_helpful_switch_gt_delta95,6,0.0008136696501220504,2,2458
tree_argmin_disagreement,missed_helpful_switch_gt_delta95,7,0.0015936254980079682,4,2510
tree_argmin_disagreement,missed_helpful_switch_gt_delta95,8,0.03401898734177215,86,2528
selected_action_tree_std,harmful_H0,0,0.22025912838633688,561,2547
selected_action_tree_std,harmful_H0,1,0.15626226933647427,398,2547
selected_action_tree_std,harmful_H0,2,0.1519434628975265,387,2547
selected_action_tree_std,harmful_H0,3,0.15508441303494308,395,2547
selected_action_tree_std,harmful_H0,4,0.1707891637220259,435,2547
selected_action_tree_std,harmful_H0,5,0.1575019638648861,401,2546
selected_action_tree_std,harmful_H0,6,0.15901060070671377,405,2547
selected_action_tree_std,harmful_H0,7,0.14526894385551628,370,2547
selected_action_tree_std,harmful_H0,8,0.13191990577149587,336,2547
selected_action_tree_std,harmful_H0,9,0.2194738908519827,559,2547
selected_action_tree_std,harmful_H50,0,0.1817824892029839,463,2547
selected_action_tree_std,harmful_H50,1,0.12877895563407932,328,2547
selected_action_tree_std,harmful_H50,2,0.12603062426383982,321,2547
selected_action_tree_std,harmful_H50,3,0.12288967412642324,313,2547
selected_action_tree_std,harmful_H50,4,0.1354534746760895,345,2547
selected_action_tree_std,harmful_H50,5,0.12333071484681854,314,2546
selected_action_tree_std,harmful_H50,6,0.12642324303101687,322,2547
selected_action_tree_std,harmful_H50,7,0.11503729878288182,293,2547
selected_action_tree_std,harmful_H50,8,0.10522182960345504,268,2547
selected_action_tree_std,harmful_H50,9,0.20769532783667058,529,2547
selected_action_tree_std,harmful_H95,0,0.0745975657636435,190,2547
selected_action_tree_std,harmful_H95,1,0.0392618767177071,100,2547
selected_action_tree_std,harmful_H95,2,0.043580683156654886,111,2547
selected_action_tree_std,harmful_H95,3,0.03769140164899882,96,2547
selected_action_tree_std,harmful_H95,4,0.0298390263054574,76,2547
selected_action_tree_std,harmful_H95,5,0.031421838177533384,80,2546
selected_action_tree_std,harmful_H95,6,0.030624263839811542,78,2547
selected_action_tree_std,harmful_H95,7,0.01845308205732234,47,2547
selected_action_tree_std,harmful_H95,8,0.016489988221436984,42,2547
selected_action_tree_std,harmful_H95,9,0.0035335689045936395,9,2547
selected_action_tree_std,missed_helpful_switch_gt_delta95,0,0.0039261876717707105,10,2547
selected_action_tree_std,missed_helpful_switch_gt_delta95,1,0.009815469179426776,25,2547
selected_action_tree_std,missed_helpful_switch_gt_delta95,2,0.008244994110718492,21,2547
selected_action_tree_std,missed_helpful_switch_gt_delta95,3,0.006281900274833137,16,2547
selected_action_tree_std,missed_helpful_switch_gt_delta95,4,0.0027483313702394976,7,2547
selected_action_tree_std,missed_helpful_switch_gt_delta95,5,0.0054988216810683424,14,2546
selected_action_tree_std,missed_helpful_switch_gt_delta95,6,0.002355712603062426,6,2547
selected_action_tree_std,missed_helpful_switch_gt_delta95,7,0.002355712603062426,6,2547
selected_action_tree_std,missed_helpful_switch_gt_delta95,8,0.0019630938358853552,5,2547
selected_action_tree_std,missed_helpful_switch_gt_delta95,9,0.011778563015312132,30,2547
