fold,definition,rows,loss_mae,gain_spearman
0,mabbob_c006,888,1.216371469019548,0.7783793072211079
0,mabbob_c022,972,1.5061404023646519,0.8724766832209911
0,mabbob_c037,942,2.7398491975964743,0.8786706114734526
0,mabbob_c038,862,4.686519555931185,0.8572618354960381
0,mabbob_c041,898,2.1781439597164565,0.8870792626257015
1,mabbob_c005,972,1.496054202397523,0.8654680071410497
1,mabbob_c011,964,3.8361448284192736,0.7569285018589598
1,mabbob_c012,1000,1.487854534862604,0.8774339379562693
1,mabbob_c015,966,2.5940093502224175,0.9082771039323596
1,mabbob_c031,898,1.3686777299704171,0.9134658107123881
2,mabbob_c003,922,1.4850663423025476,0.8713828597287546
2,mabbob_c007,940,1.1463945687805264,0.6563071658292334
2,mabbob_c019,934,2.8345062381417003,0.8959697982091296
2,mabbob_c024,902,3.3610717754960624,0.7839277728904142
2,mabbob_c035,1016,2.041109735539797,0.7632146915127025
3,mabbob_c002,954,2.442606561630725,-0.04799025249286117
3,mabbob_c008,960,1.7228219575621102,-0.5040938531431893
3,mabbob_c013,968,3.058966562123409,0.7957567853165627
3,mabbob_c017,936,4.6039631486901,
3,mabbob_c042,858,3.351068973708068,0.894518477014473
4,mabbob_c001,854,4.936985380091279,0.6716102707496998
4,mabbob_c004,1004,1.29235397140761,0.9038300096440177
4,mabbob_c028,888,4.534760025172908,0.8796032638461696
4,mabbob_c033,966,1.9056488718901081,0.9080611338536684
