scheme,direction,target,pooled_oof_r2,median_fold_r2,share_folds_r2_above_0.5,share_folds_r2_below_0,folds
leave_family_out,bf_to_lf,lf_y_mean,-0.060628705148349615,-9763.073518392479,0.0,1.0,5
leave_family_out,bf_to_lf,lf_y_std,-0.058724278542945596,-1782.9219355781395,0.0,1.0,5
leave_family_out,bf_to_lf,lf_y_skew,-0.06411437013417887,-0.5059156474760382,0.0,1.0,5
leave_family_out,bf_to_lf,lf_y_kurtosis,-0.10710800484652228,-1.2170490376426768,0.0,1.0,5
leave_family_out,bf_to_lf,lf_y_q10,0.3580730931008149,0.3582423675199754,0.2,0.2,5
leave_family_out,bf_to_lf,lf_y_q50,-0.07222478011850897,-8411.268673932642,0.0,1.0,5
leave_family_out,bf_to_lf,lf_y_q90,-0.069251140283763,-75460.82801646949,0.0,1.0,5
leave_family_out,bf_to_lf,lf_linear_r2,0.2580422120936009,0.22455990626410516,0.0,0.2,5
leave_family_out,bf_to_lf,lf_quadratic_r2,0.3133135297140336,-2.5194849167548763,0.0,0.6,5
leave_family_out,bf_to_lf,lf_quadratic_gain_over_linear,0.0973121037845075,0.06695519886784751,0.0,0.4,5
leave_family_out,bf_to_lf,lf_model_residual_rel,0.35131352060629084,0.17835224902087454,0.0,0.4,5
leave_family_out,bf_to_lf,lf_design_condition,0.2710229270344324,0.2758731452851272,0.0,0.0,5
leave_family_out,bf_to_lf,lf_linear_r2_change,,,0.0,0.0,5
leave_family_out,bf_to_lf,lf_quadratic_r2_change,,,0.0,0.0,5
leave_family_out,bf_to_lf,lf_information_transition_entropy,0.04309313089700584,-0.034257532535949764,0.0,0.6,5
leave_family_out,bf_to_lf,lf_information_sign_change_rate,,,0.0,0.2,5
leave_family_out,bf_to_lf,lf_information_ruggedness,0.14486921851300016,0.0605788659962635,0.0,0.4,5
leave_family_out,bf_to_lf,lf_local_fdc,0.22738219231581602,0.15784072963170914,0.0,0.4,5
leave_family_out,bf_to_lf,lf_elite_dispersion_ratio,0.3624066626124116,0.3361464459109611,0.0,0.2,5
leave_family_out,bf_to_lf,lf_elite_dispersion_shift,0.13017027673417003,0.06247109822288133,0.0,0.0,5
leave_family_out,bf_to_lf,lf_nbc_mean_distance,0.3349818512892919,0.22387046516453712,0.0,0.2,5
leave_family_out,bf_to_lf,lf_nbc_distance_cv,0.455547188488051,0.4543201484521492,0.2,0.0,5
leave_family_out,bf_to_lf,lf_nbc_cluster_proxy,0.34377656971645376,0.3244991613028494,0.0,0.0,5
leave_family_out,lf_to_bf,bf_fe_ratio,0.12494934740356667,0.16254508459768324,0.0,0.2,5
leave_family_out,lf_to_bf,bf_improvement_rate_w02,0.029280059837862416,0.01871625806667454,0.0,0.4,5
leave_family_out,lf_to_bf,bf_improvement_frequency_w02,0.2371402271165891,0.22643260390388664,0.0,0.0,5
leave_family_out,lf_to_bf,bf_diversity_mean_pairwise,0.8156894297245437,0.7771543412762396,1.0,0.0,5
leave_family_out,lf_to_bf,bf_diversity_change_w05,-0.25883311456850633,-0.17746957433069466,0.2,0.6,5
leave_family_out,lf_to_bf,bf_covariance_spectral_concentration,0.08398105124910782,0.049569911830777635,0.0,0.2,5
leave_family_out,lf_to_bf,bf_distance_decay_w10,-0.4063538589057216,-0.25022952769632134,0.0,0.6,5
leave_family_out,lf_to_bf,bf_stagnation_w10,0.30641488936896566,0.24676038939994116,0.0,0.2,5
