suite,current_algorithm,FE,target_algorithm,states,strict_gain_gt_zero_rate,gain_mean,gain_median,gain_std
bbob,cso,2000,lshade,150,0.5266666666666666,-0.10764687349272338,0.004224262946437934,0.6192174744046484
bbob,cso,2000,shade,150,0.4666666666666667,-0.14388358040203725,0.0,0.6121054519425133
bbob,cso,4000,lshade,150,0.52,0.004422252594642898,3.5567399211955397e-07,0.4968223460629112
bbob,cso,4000,shade,150,0.5133333333333333,-0.01099178449792466,2.636646109221985e-07,0.490221639601613
bbob,cso,6000,lshade,150,0.5266666666666666,0.050999776329532016,3.5899158009194965e-06,0.27274919512133494
bbob,cso,6000,shade,150,0.5333333333333333,0.0347496940199643,6.825868871948582e-06,0.31141883821610944
bbob,lshade,2000,cso,150,0.26666666666666666,-0.18225270631354779,-0.14804174626069344,0.8463834994005914
bbob,lshade,2000,shade,150,0.31333333333333335,-0.2095616610899439,-0.10568469558011358,0.4202238209119235
bbob,lshade,4000,cso,150,0.15333333333333332,-0.8282039025079642,-0.33771538582695154,1.4781611884471868
bbob,lshade,4000,shade,150,0.18666666666666668,-0.3650482281953831,-0.11034075486678319,0.8867444233088696
bbob,lshade,6000,cso,150,0.28,-0.38328375862702607,-0.0011905318904742793,1.2889902757775018
bbob,lshade,6000,shade,150,0.26,-0.01214552428762946,0.0,0.45259861746787466
bbob,shade,2000,cso,150,0.4,-0.09087081741211844,-0.03172242882052029,0.6335069626974006
bbob,shade,2000,lshade,150,0.44666666666666666,-0.07925058178149404,-0.01880957691341556,0.3954773701135092
bbob,shade,4000,cso,150,0.12,-0.8651884246647912,-0.5200925746224838,1.3156460001814971
bbob,shade,4000,lshade,150,0.37333333333333335,-0.18145709521086836,-0.03310041760068294,0.9484365381717392
bbob,shade,6000,cso,150,0.04666666666666667,-0.7523854365182607,-0.6873916504982939,0.8063958431919753
bbob,shade,6000,lshade,150,0.25333333333333335,-0.18523289655969233,-0.056111364751913195,0.4572873934606775
mabbob,cso,2000,lshade,60,0.6166666666666667,0.05162378025604871,0.01957043925752515,0.9264328431037554
mabbob,cso,2000,shade,60,0.5,-0.015382612078898676,-0.00045250519904041324,0.9285009328604977
mabbob,cso,4000,lshade,60,0.6333333333333333,0.022380988504712717,0.00955127679957106,0.26399420768071735
mabbob,cso,4000,shade,60,0.6333333333333333,0.017016519994570784,0.005288945482442853,0.2746182013072167
mabbob,cso,6000,lshade,60,0.75,0.02984050935982642,0.004839100474464564,0.08243370760589619
mabbob,cso,6000,shade,60,0.7333333333333333,0.04242055842073254,0.0038531970837323293,0.1661200119304018
mabbob,lshade,2000,cso,60,0.48333333333333334,0.05346363253934039,-0.03206479526818004,1.181897799814971
mabbob,lshade,2000,shade,60,0.31666666666666665,-0.43108129191379874,-0.12920168742927846,0.9895262728809343
mabbob,lshade,4000,cso,60,0.16666666666666666,-0.7039728599747136,-0.5077742729522261,0.8350324231333028
mabbob,lshade,4000,shade,60,0.18333333333333332,-0.18298775491064248,-0.08327004044209912,0.3185301830947444
mabbob,lshade,6000,cso,60,0.2,-0.4823482214400683,-0.11207080431511862,0.7632126804293373
mabbob,lshade,6000,shade,60,0.31666666666666665,-0.04955124083405534,-0.002226360513723158,0.2932693353031171
mabbob,shade,2000,cso,60,0.5666666666666667,0.22393376679674157,0.05853789160448418,1.1542965270826537
mabbob,shade,2000,lshade,60,0.38333333333333336,-0.06802217003275196,-0.05070397057234989,0.8627836501747098
mabbob,shade,4000,cso,60,0.11666666666666667,-0.5998355024558618,-0.5325015511900779,0.600091307951545
mabbob,shade,4000,lshade,60,0.3,-0.1271520775031722,-0.0663950369734724,0.2914192990584472
mabbob,shade,6000,cso,60,0.03333333333333333,-0.6762827041525465,-0.62508184472414,0.49570851135319904
mabbob,shade,6000,lshade,60,0.11666666666666667,-0.20146447395631467,-0.13896085440641937,0.37866007205673463
