model,carrier,suite,functions,function_balanced_realized_loss,function_balanced_gain_vs_continue,function_balanced_switch_rate,function_balanced_harmful_rate
M0_current_FE,rf,bbob,10,-1.5634270764454665,-0.04206919957349112,0.25555555555555554,0.0651851851851852
M1_behavior,rf,bbob,10,-1.6053870344126082,-0.00010924160634921965,0.6711111111111111,0.1488888888888889
M2_current_FE_behavior,rf,bbob,10,-1.6106864320026886,0.005190155983730893,0.6422222222222222,0.13555555555555557
M3_current_only,rf,bbob,10,-1.5767380453213105,-0.028758230697647075,0.1,0.03925925925925926
M4_FE_only,rf,bbob,10,-1.5212279184052726,-0.08426835761368494,0.6666666666666666,0.2051851851851852
M0_current_FE,ridge,bbob,10,-1.6011854495336333,-0.004310826485324433,0.14444444444444443,0.016296296296296295
M1_behavior,ridge,bbob,10,-1.5951904842087796,-0.01030579181017791,0.6481481481481481,0.16962962962962963
M2_current_FE_behavior,ridge,bbob,10,-1.623116398467768,0.01762012244881043,0.302962962962963,0.06592592592592592
M3_current_only,ridge,bbob,10,-1.5767380453213105,-0.028758230697647075,0.1,0.03925925925925926
M4_FE_only,ridge,bbob,10,-1.5675709284458343,-0.03792534757312312,0.6666666666666666,0.1511111111111111
M0_current_FE,rf,mabbob,12,-4.521854171731093,-0.006296607401676931,0.2685185185185185,0.044444444444444446
M1_behavior,rf,mabbob,12,-4.573232826217136,0.045082047084365855,0.6462962962962963,0.17037037037037037
M2_current_FE_behavior,rf,mabbob,12,-4.573125573687748,0.04497479455497788,0.5907407407407407,0.13703703703703704
M3_current_only,rf,mabbob,12,-4.50678741788412,-0.021363361248649307,0.08333333333333333,0.04259259259259259
M4_FE_only,rf,mabbob,12,-4.475574320150024,-0.0525764589827464,0.6666666666666666,0.21666666666666667
M0_current_FE,ridge,mabbob,12,-4.529933405473426,0.0017826263406569547,0.12962962962962962,0.012962962962962963
M1_behavior,ridge,mabbob,12,-4.523131805797539,-0.005018973335231163,0.5944444444444444,0.15555555555555556
M2_current_FE_behavior,ridge,mabbob,12,-4.526485569711865,-0.0016652094209039451,0.2518518518518518,0.0462962962962963
M3_current_only,ridge,mabbob,12,-4.509080151953526,-0.019070627179243824,0.05555555555555555,0.025925925925925925
M4_FE_only,ridge,mabbob,12,-4.5138952056673824,-0.01425557346538728,0.6666666666666666,0.18888888888888888
