comparison,suite,fb_mean,ci_low,ci_high
MGS_matched_vs_lookup,bbob,-0.03871560135907506,-0.06278938216756591,-0.017937139474752613
MGS_matched_vs_lookup,mabbob,-0.02568093483832444,-0.059565864492989354,0.02125278669278046
MGS_matched_vs_M0,bbob,-0.037563590922857194,-0.05854314882470561,-0.017566707326782095
MGS_matched_vs_M0,mabbob,-0.021706303564161228,-0.05952068438414225,0.036774400763099416
MG_vs_M0,bbob,-0.029232655181737576,-0.046707922153669534,-0.011027949116545276
MG_vs_M0,mabbob,-0.024100515421346117,-0.059233966914922845,0.022525210225146614
MS_old_vs_M0,bbob,-0.04141526118082104,-0.07132171746273214,-0.015044623959382872
MS_old_vs_M0,mabbob,-0.037296655246381163,-0.07961081595213762,0.018577104449142172
MS_matched_vs_M0,bbob,-0.04354125909859378,-0.07071972578762155,-0.018552840274137294
MS_matched_vs_M0,mabbob,-0.028174110548532683,-0.06377433481681503,0.02462162096602967
MGS_old_vs_M0,bbob,-0.04216818993950156,-0.0681404608215315,-0.020733905866017206
MGS_old_vs_M0,mabbob,-0.019196044490059207,-0.05854536326126937,0.038043813970423716
MGS_old_vs_lookup,bbob,-0.04332020037571942,-0.07286960535013144,-0.0206896900143962
MGS_old_vs_lookup,mabbob,-0.023170675764222413,-0.058424966743602334,0.022097842007575134
MGS_old_vs_MG,bbob,-0.012935534757763984,-0.03526460389276168,0.001251454016922731
MGS_old_vs_MG,mabbob,0.004904470931286909,-0.007978734912074976,0.01825202773343949
MGS_matched_vs_MG,bbob,-0.008330935741119613,-0.023174126416599144,0.0008277918488511126
MGS_matched_vs_MG,mabbob,0.0023942118571848798,-0.009506228860084018,0.016038715824794835
M0_vs_continue,bbob,0.014345559969452979,-0.007890665508531987,0.04534329458151308
M0_vs_continue,mabbob,0.010878911132624123,0.0029719540948198887,0.01939846327462594
