suite,policy,realized_fb_loss,n_states
pooled,Continue,-3.6399360985694416,3780
pooled,lookup,-3.655082380975721,3780
pooled,M0,-3.6523907591733518,3780
pooled,MG,-3.6259574529518273,3780
pooled,MS_old,-3.6132220103204076,3780
pooled,MS_matched,-3.617231581102064,3780
pooled,MGS_old,-3.622752830388092,3780
pooled,MGS_matched,-3.623476597718874,3780
bbob,Continue,-1.969171092634614,2700
bbob,lookup,-1.9846686630402846,2700
bbob,M0,-1.9835166526040673,2700
bbob,MG,-1.9542839974223294,2700
bbob,MS_old,-1.9421013914232463,2700
bbob,MS_matched,-1.9399753935054727,2700
bbob,MGS_old,-1.9413484626645654,2700
bbob,MGS_matched,-1.94595306168121,2700
mabbob,Continue,-5.032240270181798,1080
mabbob,lookup,-5.047093812588584,1080
mabbob,M0,-5.043119181314421,1080
mabbob,MG,-5.019018665893076,1080
mabbob,MS_old,-5.00582252606804,1080
mabbob,MS_matched,-5.014945070765889,1080
mabbob,MGS_old,-5.023923136824362,1080
mabbob,MGS_matched,-5.021412877750261,1080
