feature_scheme,selected_rank,feature,source_column,source_column_in_primary_with_maturity,selector_score
raw_primary_with_maturity,1,bf_fe_ratio,bf_fe_ratio,True,
raw_primary_with_maturity,2,bf_improvement_rate_w02,bf_improvement_rate_w02,True,
raw_primary_with_maturity,3,bf_improvement_frequency_w02,bf_improvement_frequency_w02,True,
raw_primary_with_maturity,4,bf_diversity_mean_pairwise,bf_diversity_mean_pairwise,True,
raw_primary_with_maturity,5,bf_diversity_change_w05,bf_diversity_change_w05,True,
raw_primary_with_maturity,6,bf_directional_entropy_w05,bf_directional_entropy_w05,True,
raw_primary_with_maturity,7,bf_distance_decay_w10,bf_distance_decay_w10,True,
raw_primary_with_maturity,8,bf_stagnation_w10,bf_stagnation_w10,True,
raw_primary_with_maturity,9,bf_convergence_rate_w10,bf_convergence_rate_w10,True,
raw_primary_with_maturity,10,bf_fitness_diversity,bf_fitness_diversity,True,
raw_primary_with_maturity,11,bf_fitness_diversity_rel,bf_fitness_diversity_rel,True,
raw_primary_with_maturity,12,bf_movement_magnitude,bf_movement_magnitude,True,
raw_primary_with_maturity,13,bf_movement_diversity,bf_movement_diversity,True,
raw_primary_with_maturity,14,bf_direction_consistency_w05,bf_direction_consistency_w05,True,
raw_primary_with_maturity,15,bf_success_rate_w02,bf_success_rate_w02,True,
raw_primary_with_maturity,16,bf_improvement_variance_w02,bf_improvement_variance_w02,True,
raw_primary_with_maturity,17,bf_best_improvement_ratio_w02,bf_best_improvement_ratio_w02,True,
raw_primary_with_maturity,18,bf_elite_concentration,bf_elite_concentration,True,
raw_primary_with_maturity,19,bf_best_fitness_slope_w05,bf_best_fitness_slope_w05,True,
raw_primary_with_maturity,20,bf_diversity_slope_w05,bf_diversity_slope_w05,True,
raw_primary_with_maturity,21,bf_search_maturity,bf_search_maturity,True,
raw_primary_with_maturity,22,bf_search_maturity_linear,bf_search_maturity_linear,True,
raw_primary_with_maturity,23,bf_explore_exploit_ratio,bf_explore_exploit_ratio,True,
engineered_univariate_selected,1,bf_improvement_rate_w02,bf_improvement_rate_w02,True,0.029549628910455095
engineered_univariate_selected,2,bf_improvement_frequency_w02,bf_improvement_frequency_w02,True,0.02148165181700068
engineered_univariate_selected,3,bf_diversity_mean_pairwise,bf_diversity_mean_pairwise,True,0.03146843854821113
engineered_univariate_selected,4,bf_diversity_change_w05,bf_diversity_change_w05,True,0.02404989354589726
engineered_univariate_selected,5,bf_distance_decay_w10,bf_distance_decay_w10,True,0.01865306944864975
engineered_univariate_selected,6,bf_stagnation_w10,bf_stagnation_w10,True,0.01926987804333935
engineered_univariate_selected,7,bf_convergence_rate_w10,bf_convergence_rate_w10,True,0.0190689800675794
engineered_univariate_selected,8,bf_fitness_diversity,bf_fitness_diversity,True,0.04038705193239833
engineered_univariate_selected,9,bf_fitness_diversity_rel,bf_fitness_diversity_rel,True,0.057488566061582036
engineered_univariate_selected,10,bf_movement_diversity,bf_movement_diversity,True,0.022570409133267022
engineered_univariate_selected,11,bf_success_rate_w02,bf_success_rate_w02,True,0.019196690203418187
engineered_univariate_selected,12,bf_best_fitness_slope_w05,bf_best_fitness_slope_w05,True,0.019741298779454963
engineered_univariate_selected,13,bf_improvement_rate_w02__square,bf_improvement_rate_w02,True,0.020521185654079677
engineered_univariate_selected,14,bf_diversity_mean_pairwise__square,bf_diversity_mean_pairwise,True,0.02815588894156895
engineered_univariate_selected,15,bf_fitness_diversity__square,bf_fitness_diversity,True,0.03958544267343589
engineered_univariate_selected,16,bf_fitness_diversity_rel__square,bf_fitness_diversity_rel,True,0.05466119268240455
engineered_univariate_selected,17,bf_movement_diversity__square,bf_movement_diversity,True,0.01801147600644515
engineered_univariate_selected,18,bf_success_rate_w02__square,bf_success_rate_w02,True,0.01948595651651952
engineered_univariate_selected,19,bf_improvement_rate_w02__abs,bf_improvement_rate_w02,True,0.029648078321036664
engineered_univariate_selected,20,bf_improvement_frequency_w02__abs,bf_improvement_frequency_w02,True,0.02923435611496039
engineered_univariate_selected,21,bf_diversity_mean_pairwise__abs,bf_diversity_mean_pairwise,True,0.02818845950046933
engineered_univariate_selected,22,bf_diversity_change_w05__abs,bf_diversity_change_w05,True,0.0228730160991788
engineered_univariate_selected,23,bf_distance_decay_w10__abs,bf_distance_decay_w10,True,0.018913210323964424
engineered_univariate_selected,24,bf_stagnation_w10__abs,bf_stagnation_w10,True,0.03071088226181362
engineered_univariate_selected,25,bf_convergence_rate_w10__abs,bf_convergence_rate_w10,True,0.018932870209370067
engineered_univariate_selected,26,bf_fitness_diversity__abs,bf_fitness_diversity,True,0.04023617224327114
engineered_univariate_selected,27,bf_fitness_diversity_rel__abs,bf_fitness_diversity_rel,True,0.05498440128400994
engineered_univariate_selected,28,bf_movement_diversity__abs,bf_movement_diversity,True,0.018112424158731377
engineered_univariate_selected,29,bf_success_rate_w02__abs,bf_success_rate_w02,True,0.019897808945219975
engineered_univariate_selected,30,bf_best_fitness_slope_w05__abs,bf_best_fitness_slope_w05,True,0.020148636728205993
engineered_univariate_selected,31,bf_improvement_rate_w02__signed_square,bf_improvement_rate_w02,True,0.020480501407662777
engineered_univariate_selected,32,bf_diversity_mean_pairwise__signed_square,bf_diversity_mean_pairwise,True,0.03148307187662258
engineered_univariate_selected,33,bf_fitness_diversity__signed_square,bf_fitness_diversity,True,0.039579968033774504
engineered_univariate_selected,34,bf_fitness_diversity_rel__signed_square,bf_fitness_diversity_rel,True,0.0566218472995379
engineered_univariate_selected,35,bf_movement_diversity__signed_square,bf_movement_diversity,True,0.0221977365460424
engineered_univariate_selected,36,bf_success_rate_w02__signed_square,bf_success_rate_w02,True,0.01930470129916806
engineered_univariate_selected,37,bf_improvement_rate_w02__log_abs,bf_improvement_rate_w02,True,0.03091385291135529
engineered_univariate_selected,38,bf_improvement_frequency_w02__log_abs,bf_improvement_frequency_w02,True,0.03597130689197692
engineered_univariate_selected,39,bf_diversity_mean_pairwise__log_abs,bf_diversity_mean_pairwise,True,0.02817442551336069
engineered_univariate_selected,40,bf_diversity_change_w05__log_abs,bf_diversity_change_w05,True,0.023467432432825452
engineered_univariate_selected,41,bf_distance_decay_w10__log_abs,bf_distance_decay_w10,True,0.01931490749080078
engineered_univariate_selected,42,bf_stagnation_w10__log_abs,bf_stagnation_w10,True,0.03808415367306117
engineered_univariate_selected,43,bf_convergence_rate_w10__log_abs,bf_convergence_rate_w10,True,0.019981863001657274
engineered_univariate_selected,44,bf_fitness_diversity__log_abs,bf_fitness_diversity,True,0.040271773929143384
engineered_univariate_selected,45,bf_fitness_diversity_rel__log_abs,bf_fitness_diversity_rel,True,0.05504051737001525
engineered_univariate_selected,46,bf_movement_diversity__log_abs,bf_movement_diversity,True,0.017894900469806352
engineered_univariate_selected,47,bf_success_rate_w02__log_abs,bf_success_rate_w02,True,0.022811246417468123
engineered_univariate_selected,48,bf_best_fitness_slope_w05__log_abs,bf_best_fitness_slope_w05,True,0.02205783117471727
engineered_interaction_selected,1,bf_improvement_rate_w02,bf_improvement_rate_w02,True,0.029405361277223152
engineered_interaction_selected,2,bf_diversity_mean_pairwise,bf_diversity_mean_pairwise,True,0.03150013728662904
engineered_interaction_selected,3,bf_fitness_diversity,bf_fitness_diversity,True,0.040457871510525045
engineered_interaction_selected,4,bf_fitness_diversity_rel,bf_fitness_diversity_rel,True,0.057457850176521275
engineered_interaction_selected,5,bf_diversity_mean_pairwise__square,bf_diversity_mean_pairwise,True,0.028181386661261465
engineered_interaction_selected,6,bf_fitness_diversity__square,bf_fitness_diversity,True,0.04053820994059065
engineered_interaction_selected,7,bf_fitness_diversity_rel__square,bf_fitness_diversity_rel,True,0.0544981740880488
engineered_interaction_selected,8,bf_improvement_rate_w02__abs,bf_improvement_rate_w02,True,0.02931073162784381
engineered_interaction_selected,9,bf_improvement_frequency_w02__abs,bf_improvement_frequency_w02,True,0.030245553497415312
engineered_interaction_selected,10,bf_diversity_mean_pairwise__abs,bf_diversity_mean_pairwise,True,0.028175364543151504
engineered_interaction_selected,11,bf_stagnation_w10__abs,bf_stagnation_w10,True,0.030377870442174437
engineered_interaction_selected,12,bf_fitness_diversity__abs,bf_fitness_diversity,True,0.040214170367569135
engineered_interaction_selected,13,bf_fitness_diversity_rel__abs,bf_fitness_diversity_rel,True,0.05495419918743405
engineered_interaction_selected,14,bf_diversity_mean_pairwise__signed_square,bf_diversity_mean_pairwise,True,0.03150160158749271
engineered_interaction_selected,15,bf_fitness_diversity__signed_square,bf_fitness_diversity,True,0.03941626333859971
engineered_interaction_selected,16,bf_fitness_diversity_rel__signed_square,bf_fitness_diversity_rel,True,0.05679985691015932
engineered_interaction_selected,17,bf_improvement_rate_w02__log_abs,bf_improvement_rate_w02,True,0.03135818860043371
engineered_interaction_selected,18,bf_improvement_frequency_w02__log_abs,bf_improvement_frequency_w02,True,0.035372940026331845
engineered_interaction_selected,19,bf_diversity_mean_pairwise__log_abs,bf_diversity_mean_pairwise,True,0.028154912735969706
engineered_interaction_selected,20,bf_diversity_change_w05__log_abs,bf_diversity_change_w05,True,0.02357543644136295
engineered_interaction_selected,21,bf_stagnation_w10__log_abs,bf_stagnation_w10,True,0.03855998233073121
engineered_interaction_selected,22,bf_fitness_diversity__log_abs,bf_fitness_diversity,True,0.040218281384301946
engineered_interaction_selected,23,bf_fitness_diversity_rel__log_abs,bf_fitness_diversity_rel,True,0.055026338840652
engineered_interaction_selected,24,bf_fe_ratio__x__bf_improvement_rate_w02,bf_fe_ratio,True,0.030250360505494456
engineered_interaction_selected,25,bf_fe_ratio__x__bf_diversity_mean_pairwise,bf_fe_ratio,True,0.0236300092509103
engineered_interaction_selected,26,bf_fe_ratio__x__bf_diversity_change_w05,bf_fe_ratio,True,0.027850173385209898
engineered_interaction_selected,27,bf_fe_ratio__x__bf_fitness_diversity,bf_fe_ratio,True,0.04476580034999489
engineered_interaction_selected,28,bf_fe_ratio__x__bf_fitness_diversity_rel,bf_fe_ratio,True,0.04514450769196854
engineered_interaction_selected,29,bf_fe_ratio__x__bf_best_fitness_slope_w05,bf_fe_ratio,True,0.025268668702748798
engineered_interaction_selected,30,bf_improvement_rate_w02__x__bf_improvement_frequency_w02,bf_improvement_rate_w02,True,0.03295982787608143
engineered_interaction_selected,31,bf_improvement_rate_w02__x__bf_diversity_mean_pairwise,bf_improvement_rate_w02,True,0.033407479191013056
engineered_interaction_selected,32,bf_improvement_rate_w02__x__bf_diversity_change_w05,bf_improvement_rate_w02,True,0.029782151194400752
engineered_interaction_selected,33,bf_improvement_rate_w02__x__bf_distance_decay_w10,bf_improvement_rate_w02,True,0.030172275363739898
engineered_interaction_selected,34,bf_improvement_rate_w02__x__bf_stagnation_w10,bf_improvement_rate_w02,True,0.033810415032034635
engineered_interaction_selected,35,bf_improvement_rate_w02__x__bf_convergence_rate_w10,bf_improvement_rate_w02,True,0.031264017824716994
engineered_interaction_selected,36,bf_improvement_rate_w02__x__bf_fitness_diversity,bf_improvement_rate_w02,True,0.03351851022266872
engineered_interaction_selected,37,bf_improvement_rate_w02__x__bf_fitness_diversity_rel,bf_improvement_rate_w02,True,0.047393416925711085
engineered_interaction_selected,38,bf_improvement_rate_w02__x__bf_movement_diversity,bf_improvement_rate_w02,True,0.02332925617604209
engineered_interaction_selected,39,bf_improvement_rate_w02__x__bf_success_rate_w02,bf_improvement_rate_w02,True,0.0349501805170227
