model_name,model_family,objective,eval_split,layer,group,label_source,dimension,FE_ratio,rows,u_gt_zero_rows,u_gt_zero_rate,mean_observed_utility,median_observed_utility,positive_utility_sum,mae,rmse,r2,pearson,spearman,roc_auc_u_gt_zero,average_precision_u_gt_zero,score_mean,score_median,candidate_id,base_model_name,estimator,feature_scheme,role,params_json
lda_classifier__baseline,lda,classification,bbob_train,all,all,,,,194400,11921,0.06132201646090535,-0.08855738467265091,-0.06544428361600368,2511.1122661377594,,,,0.12182226866275325,0.13266617378121037,0.800112169904256,0.19669029682443476,0.06438436113729425,0.030736770539125713,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_train,label_source,label_source=changed_algorithm,changed_algorithm,,,74400,8470,0.11384408602150538,-0.05859081542569486,-0.06280283172738645,1678.8603444230114,,,,0.23288601283002816,0.2557636119593741,0.8423252506907349,0.33348172354157185,0.07966229608282689,0.030452790686594733,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_train,label_source,label_source=same_algorithm,same_algorithm,,,120000,3451,0.028758333333333334,-0.10713665760576366,-0.06743423570665175,832.2519217147483,,,,0.014367777362859447,0.05117435902826905,0.6845162874487055,0.051693720409896844,0.054912041471064,0.03084641455636762,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_train,dimension,dimension=10,,10.0,,64800,2405,0.037114197530864194,-0.04022633237538057,-0.03715828153278458,308.0180086184804,,,,0.08271992801277817,0.3543913771593875,0.8103835616392714,0.15098198280293854,0.059377445479768906,0.02678112261845877,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_train,dimension,dimension=20,,20.0,,64800,3858,0.059537037037037034,-0.07228172978918257,-0.06716881295115272,823.0687800379324,,,,0.1448200608926604,0.31505518286659073,0.8116739132716744,0.22345930996397567,0.06471331757421749,0.030718481165080042,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_train,dimension,dimension=40,,40.0,,64800,5658,0.08731481481481482,-0.1531640918533896,-0.14272675969545875,1380.025477481347,,,,0.17593040818388486,0.3433366988542274,0.7734737833856719,0.21811969940012266,0.06906232035789635,0.03611072291757757,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_train,FE_ratio,FE_ratio=0.2,,,0.2,19440,1637,0.08420781893004116,-0.06196176210011554,-0.05049860667501493,304.44205064313394,,,,0.09118977336436453,-0.02131577259551604,0.6573446486938379,0.16290191151775252,0.04904152355153532,0.0454240036577056,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_train,FE_ratio,FE_ratio=0.25,,,0.25,19440,1530,0.0787037037037037,-0.06684412289960417,-0.05379598025536793,289.0381601639173,,,,0.1425674043399944,0.09635288128254463,0.7826981311787696,0.2211543983420122,0.09499622244824008,0.05423142530465862,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_train,FE_ratio,FE_ratio=0.28,,,0.28,19440,1516,0.07798353909465021,-0.06678863875638497,-0.05595944523593056,294.83506110374555,,,,0.14280143827537112,0.10219605098377049,0.7977401211447455,0.23321007964673243,0.0808353578000197,0.043972462039942595,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_train,FE_ratio,FE_ratio=0.3,,,0.3,19440,1403,0.07217078189300412,-0.07045501341769796,-0.05769358257385397,275.8794546370344,,,,0.14822116179154704,0.13867113883435822,0.802991048217944,0.22885400901849248,0.07843668564631684,0.03675096589052154,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_train,FE_ratio,FE_ratio=0.35,,,0.35,19440,1388,0.07139917695473251,-0.07482964941049443,-0.062069321341436653,257.6511044439708,,,,0.15607504742987727,0.11297793742564807,0.8207961981109966,0.237828086235125,0.06649899511101832,0.02746232567187541,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_train,FE_ratio,FE_ratio=0.4,,,0.4,19440,1376,0.07078189300411522,-0.08176159053440116,-0.06731035034538017,252.55187921031478,,,,0.1400981747297041,0.1177773076294884,0.8256911472387585,0.2311632439693296,0.060290642976700955,0.02309466458602567,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
lda_classifier__baseline,lda,classification,bbob_train,FE_ratio,FE_ratio=0.45,,,0.45,19440,911,0.04686213991769547,-0.09574364894010993,-0.0740343803226563,214.80823720368133,,,,0.10889828263191854,0.00788529319924993,0.8409353741567125,0.20261377609688805,0.05627579156819193,0.01973609880556297,lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,LinearDiscriminantAnalysis(),raw_primary_with_maturity,baseline,"{""shrinkage"": null, ""solver"": ""svd""}"
