model_name,policy,threshold_mode,penalty,rows,call_rate,decision_mean_utility,utility_capture_rate,precision,unhelpful_call_cost_sum,unhelpful_call_rows
lda_classifier__baseline,global_penalty_1,global,1.0,64800,0.03783950617283951,0.004324970767963681,0.5610328332488974,0.3128058727569331,136.61090851096142,1685
lda_classifier__baseline,global_penalty_1.5,global,1.5,64800,3.08641975308642e-05,-7.911934527161153e-07,0.0,0.0,0.05126933573600427,2
lda_classifier__baseline,global_penalty_2,global,2.0,64800,3.08641975308642e-05,-7.911934527161153e-07,0.0,0.0,0.05126933573600427,2
lda_classifier__baseline,global_penalty_3,global,3.0,64800,3.08641975308642e-05,-7.911934527161153e-07,0.0,0.0,0.05126933573600427,2
lda_classifier__baseline,maturity3_penalty_1,maturity3,1.0,64800,0.03783950617283951,0.004324970767963681,0.5610328332488974,0.3128058727569331,136.61090851096142,1685
lda_classifier__baseline,maturity3_penalty_1.5,maturity3,1.5,64800,3.08641975308642e-05,-7.911934527161153e-07,0.0,0.0,0.05126933573600427,2
lda_classifier__baseline,maturity3_penalty_2,maturity3,2.0,64800,3.08641975308642e-05,-7.911934527161153e-07,0.0,0.0,0.05126933573600427,2
lda_classifier__baseline,maturity3_penalty_3,maturity3,3.0,64800,3.08641975308642e-05,-7.911934527161153e-07,0.0,0.0,0.05126933573600427,2
lda_classifier__best_candidate,global_penalty_1,global,1.0,64800,0.03746913580246913,0.004358200203289918,0.5609896149587004,0.31507413509060955,134.4255282468059,1663
lda_classifier__best_candidate,global_penalty_1.5,global,1.5,64800,1.54320987654321e-05,-2.255713885782998e-06,0.0,0.0,0.14617025979873827,1
lda_classifier__best_candidate,global_penalty_2,global,2.0,64800,1.54320987654321e-05,-2.255713885782998e-06,0.0,0.0,0.14617025979873827,1
lda_classifier__best_candidate,global_penalty_3,global,3.0,64800,1.54320987654321e-05,-2.255713885782998e-06,0.0,0.0,0.14617025979873827,1
lda_classifier__best_candidate,maturity3_penalty_1,maturity3,1.0,64800,0.03746913580246913,0.004358200203289918,0.5609896149587004,0.31507413509060955,134.4255282468059,1663
lda_classifier__best_candidate,maturity3_penalty_1.5,maturity3,1.5,64800,1.54320987654321e-05,-2.255713885782998e-06,0.0,0.0,0.14617025979873827,1
lda_classifier__best_candidate,maturity3_penalty_2,maturity3,2.0,64800,1.54320987654321e-05,-2.255713885782998e-06,0.0,0.0,0.14617025979873827,1
lda_classifier__best_candidate,maturity3_penalty_3,maturity3,3.0,64800,1.54320987654321e-05,-2.255713885782998e-06,0.0,0.0,0.14617025979873827,1
softmax_logistic_classifier__baseline,global_penalty_1,global,1.0,64800,0.037253086419753084,0.004086558466244095,0.5435198128440202,0.30654515327257664,139.04717664447872,1674
softmax_logistic_classifier__baseline,global_penalty_1.5,global,1.5,64800,0.0,0.0,0.0,0.0,-0.0,0
softmax_logistic_classifier__baseline,global_penalty_2,global,2.0,64800,0.0,0.0,0.0,0.0,-0.0,0
softmax_logistic_classifier__baseline,global_penalty_3,global,3.0,64800,0.0,0.0,0.0,0.0,-0.0,0
softmax_logistic_classifier__baseline,maturity3_penalty_1,maturity3,1.0,64800,0.037253086419753084,0.004086558466244095,0.5435198128440202,0.30654515327257664,139.04717664447872,1674
softmax_logistic_classifier__baseline,maturity3_penalty_1.5,maturity3,1.5,64800,0.0,0.0,0.0,0.0,-0.0,0
softmax_logistic_classifier__baseline,maturity3_penalty_2,maturity3,2.0,64800,0.0,0.0,0.0,0.0,-0.0,0
softmax_logistic_classifier__baseline,maturity3_penalty_3,maturity3,3.0,64800,0.0,0.0,0.0,0.0,-0.0,0
softmax_logistic_classifier__best_candidate,global_penalty_1,global,1.0,64800,0.03726851851851852,0.004119189127453949,0.5455379751268944,0.3072463768115942,138.43228214331504,1673
softmax_logistic_classifier__best_candidate,global_penalty_1.5,global,1.5,64800,0.0,0.0,0.0,0.0,-0.0,0
softmax_logistic_classifier__best_candidate,global_penalty_2,global,2.0,64800,0.0,0.0,0.0,0.0,-0.0,0
softmax_logistic_classifier__best_candidate,global_penalty_3,global,3.0,64800,0.0,0.0,0.0,0.0,-0.0,0
softmax_logistic_classifier__best_candidate,maturity3_penalty_1,maturity3,1.0,64800,0.03726851851851852,0.004119189127453949,0.5455379751268944,0.3072463768115942,138.43228214331504,1673
softmax_logistic_classifier__best_candidate,maturity3_penalty_1.5,maturity3,1.5,64800,0.0,0.0,0.0,0.0,-0.0,0
softmax_logistic_classifier__best_candidate,maturity3_penalty_2,maturity3,2.0,64800,0.0,0.0,0.0,0.0,-0.0,0
softmax_logistic_classifier__best_candidate,maturity3_penalty_3,maturity3,3.0,64800,0.0,0.0,0.0,0.0,-0.0,0
linear_svm_classifier__baseline,global_penalty_1,global,1.0,64800,0.035972222222222225,0.003984382703588915,0.5292369546763008,0.30673530673530675,135.05545206181313,1616
linear_svm_classifier__baseline,global_penalty_1.5,global,1.5,64800,0.026049382716049382,0.002211832560643857,0.34332491223172434,0.278436018957346,111.77688974371222,1218
linear_svm_classifier__baseline,global_penalty_2,global,2.0,64800,0.0,0.0,0.0,0.0,-0.0,0
linear_svm_classifier__baseline,global_penalty_3,global,3.0,64800,0.0,0.0,0.0,0.0,-0.0,0
linear_svm_classifier__baseline,maturity3_penalty_1,maturity3,1.0,64800,0.035972222222222225,0.003984382703588915,0.5292369546763008,0.30673530673530675,135.05545206181313,1616
linear_svm_classifier__baseline,maturity3_penalty_1.5,maturity3,1.5,64800,0.026049382716049382,0.002211832560643857,0.34332491223172434,0.278436018957346,111.77688974371222,1218
linear_svm_classifier__baseline,maturity3_penalty_2,maturity3,2.0,64800,0.0,0.0,0.0,0.0,-0.0,0
linear_svm_classifier__baseline,maturity3_penalty_3,maturity3,3.0,64800,0.0,0.0,0.0,0.0,-0.0,0
linear_svm_classifier__best_candidate,global_penalty_1,global,1.0,64800,0.038287037037037036,0.004230741122249893,0.5596279778139582,0.3067311567916163,141.6731278295249,1720
linear_svm_classifier__best_candidate,global_penalty_1.5,global,1.5,64800,0.03712962962962963,0.004327799348166613,0.5563979438265756,0.31379883624272653,132.98371506945563,1651
linear_svm_classifier__best_candidate,global_penalty_2,global,2.0,64800,3.08641975308642e-05,-7.911934527161153e-07,0.0,0.0,0.05126933573600427,2
linear_svm_classifier__best_candidate,global_penalty_3,global,3.0,64800,3.08641975308642e-05,-7.911934527161153e-07,0.0,0.0,0.05126933573600427,2
linear_svm_classifier__best_candidate,maturity3_penalty_1,maturity3,1.0,64800,0.038287037037037036,0.004230741122249893,0.5596279778139582,0.3067311567916163,141.6731278295249,1720
linear_svm_classifier__best_candidate,maturity3_penalty_1.5,maturity3,1.5,64800,0.03712962962962963,0.004327799348166613,0.5563979438265756,0.31379883624272653,132.98371506945563,1651
linear_svm_classifier__best_candidate,maturity3_penalty_2,maturity3,2.0,64800,3.08641975308642e-05,-7.911934527161153e-07,0.0,0.0,0.05126933573600427,2
linear_svm_classifier__best_candidate,maturity3_penalty_3,maturity3,3.0,64800,3.08641975308642e-05,-7.911934527161153e-07,0.0,0.0,0.05126933573600427,2
