model_name,policy,segment,threshold,penalty
lda_classifier__baseline,global_penalty_1,all,0.4640292684462041,1.0
lda_classifier__baseline,global_penalty_1.5,all,0.9999403530252898,1.5
lda_classifier__baseline,global_penalty_2,all,0.9999403530252898,2.0
lda_classifier__baseline,global_penalty_3,all,0.9999403530252898,3.0
lda_classifier__baseline,maturity3_penalty_1,maturity_low,0.0,1.0
lda_classifier__baseline,maturity3_penalty_1,maturity_mid,0.0,1.0
lda_classifier__baseline,maturity3_penalty_1,maturity_high,0.4640292684462041,1.0
lda_classifier__baseline,maturity3_penalty_1.5,maturity_low,0.0,1.5
lda_classifier__baseline,maturity3_penalty_1.5,maturity_mid,0.0,1.5
lda_classifier__baseline,maturity3_penalty_1.5,maturity_high,0.9999403530252898,1.5
lda_classifier__baseline,maturity3_penalty_2,maturity_low,0.0,2.0
lda_classifier__baseline,maturity3_penalty_2,maturity_mid,0.0,2.0
lda_classifier__baseline,maturity3_penalty_2,maturity_high,0.9999403530252898,2.0
lda_classifier__baseline,maturity3_penalty_3,maturity_low,0.0,3.0
lda_classifier__baseline,maturity3_penalty_3,maturity_mid,0.0,3.0
lda_classifier__baseline,maturity3_penalty_3,maturity_high,0.9999403530252898,3.0
lda_classifier__best_candidate,global_penalty_1,all,0.8085229551552867,1.0
lda_classifier__best_candidate,global_penalty_1.5,all,0.9999396103217084,1.5
lda_classifier__best_candidate,global_penalty_2,all,0.9999396103217084,2.0
lda_classifier__best_candidate,global_penalty_3,all,0.9999396103217084,3.0
lda_classifier__best_candidate,maturity3_penalty_1,maturity_low,0.0,1.0
lda_classifier__best_candidate,maturity3_penalty_1,maturity_mid,0.0,1.0
lda_classifier__best_candidate,maturity3_penalty_1,maturity_high,0.8085229551552867,1.0
lda_classifier__best_candidate,maturity3_penalty_1.5,maturity_low,0.0,1.5
lda_classifier__best_candidate,maturity3_penalty_1.5,maturity_mid,0.0,1.5
lda_classifier__best_candidate,maturity3_penalty_1.5,maturity_high,0.9999396103217084,1.5
lda_classifier__best_candidate,maturity3_penalty_2,maturity_low,0.0,2.0
lda_classifier__best_candidate,maturity3_penalty_2,maturity_mid,0.0,2.0
lda_classifier__best_candidate,maturity3_penalty_2,maturity_high,0.9999396103217084,2.0
lda_classifier__best_candidate,maturity3_penalty_3,maturity_low,0.0,3.0
lda_classifier__best_candidate,maturity3_penalty_3,maturity_mid,0.0,3.0
lda_classifier__best_candidate,maturity3_penalty_3,maturity_high,0.9999396103217084,3.0
softmax_logistic_classifier__baseline,global_penalty_1,all,0.918385202109539,1.0
softmax_logistic_classifier__baseline,global_penalty_1.5,all,0.9999977598649088,1.5
softmax_logistic_classifier__baseline,global_penalty_2,all,0.9999977598649088,2.0
softmax_logistic_classifier__baseline,global_penalty_3,all,0.9999977598649088,3.0
softmax_logistic_classifier__baseline,maturity3_penalty_1,maturity_low,0.0,1.0
softmax_logistic_classifier__baseline,maturity3_penalty_1,maturity_mid,0.0,1.0
softmax_logistic_classifier__baseline,maturity3_penalty_1,maturity_high,0.918385202109539,1.0
softmax_logistic_classifier__baseline,maturity3_penalty_1.5,maturity_low,0.0,1.5
