candidate_id,base_model_name,model_family,estimator,role,feature_scheme,feature_count,params_json,status,skip_reason,eval_split,rows,feature_fit_seconds,fit_seconds,prediction_seconds,roc_auc_u_gt_zero,average_precision_u_gt_zero,threshold,decision_ela_call_rate,decision_mean_utility,utility_capture_rate,precision_u_gt_zero_under_calls,unhelpful_call_cost_sum
lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,lda,LinearDiscriminantAnalysis(),baseline,raw_primary_with_maturity,23,"{""shrinkage"": null, ""solver"": ""svd""}",completed,,bbob_train,194400,0.326904834000743,0.08346204199915519,0.0018690409997361712,0.800112169904256,0.19669029682443476,0.4640292684462041,0.01757201646090535,0.0003059268675674512,0.10412479844407485,0.32289227166276346,201.99687552692575
lda_classifier__raw_primary_with_maturity__baseline__shrinkage_null__solver_svd,lda_classifier,lda,LinearDiscriminantAnalysis(),baseline,raw_primary_with_maturity,23,"{""shrinkage"": null, ""solver"": ""svd""}",completed,,bbob_validation,64800,0.326904834000743,0.08346204199915519,0.0006815409942646511,0.815528571439505,0.17429424829841753,0.4640292684462041,0.03783950617283951,0.004324970767963681,0.5610328332488974,0.3128058727569331,136.61090851096142
softmax_logistic_classifier__raw_primary_with_maturity__baseline__C_1p0__class_weight_balanced__penalty_l2,softmax_logistic_classifier,softmax_logistic,"LogisticRegression(C=1.0,class_weight='balanced')",baseline,raw_primary_with_maturity,23,"{""C"": 1.0, ""class_weight"": ""balanced"", ""penalty"": ""l2""}",completed,,bbob_train,194400,0.326904834000743,0.1100417909983662,0.002078915997117292,0.8043442362403836,0.1954332122639792,0.918385202109539,0.01205246913580247,0.0002544720033661691,0.07702709945176191,0.33418693982074266,143.95433680394913
softmax_logistic_classifier__raw_primary_with_maturity__baseline__C_1p0__class_weight_balanced__penalty_l2,softmax_logistic_classifier,softmax_logistic,"LogisticRegression(C=1.0,class_weight='balanced')",baseline,raw_primary_with_maturity,23,"{""C"": 1.0, ""class_weight"": ""balanced"", ""penalty"": ""l2""}",completed,,bbob_validation,64800,0.326904834000743,0.1100417909983662,0.000883624998095911,0.8117948108465314,0.1761930310399025,0.918385202109539,0.037253086419753084,0.004086558466244095,0.5435198128440202,0.30654515327257664,139.04717664447872
linear_svm_classifier__raw_primary_with_maturity__baseline__C_1p0__class_weight_balanced,linear_svm_classifier,linear_svm,"LinearSVC(C=1.0,class_weight='balanced',tol=1e-2)",baseline,raw_primary_with_maturity,23,"{""C"": 1.0, ""class_weight"": ""balanced""}",completed,,bbob_train,194400,0.326904834000743,0.22147720800421666,0.0013019160032854415,0.8016895924536368,0.19313950838868243,0.929903506090854,0.010766460905349794,0.00018646376936654174,0.0673375812824267,0.3315814620162446,132.84366956549437
linear_svm_classifier__raw_primary_with_maturity__baseline__C_1p0__class_weight_balanced,linear_svm_classifier,linear_svm,"LinearSVC(C=1.0,class_weight='balanced',tol=1e-2)",baseline,raw_primary_with_maturity,23,"{""C"": 1.0, ""class_weight"": ""balanced""}",completed,,bbob_validation,64800,0.326904834000743,0.22147720800421666,0.0004451669956324622,0.8128348195322587,0.17453655817406466,0.929903506090854,0.035972222222222225,0.003984382703588915,0.5292369546763008,0.30673530673530675,135.05545206181313
lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_null__solver_svd,lda_classifier,lda,LinearDiscriminantAnalysis(solver='svd'),best_candidate,raw_primary_with_maturity,23,"{""shrinkage"": null, ""solver"": ""svd""}",completed,,bbob_train,194400,0.326904834000743,0.08063404099812033,0.0021209999977145344,0.800112169904256,0.19669029682443476,0.4640292684462041,0.01757201646090535,0.0003059268675674512,0.10412479844407485,0.32289227166276346,201.99687552692575
lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_null__solver_svd,lda_classifier,lda,LinearDiscriminantAnalysis(solver='svd'),best_candidate,raw_primary_with_maturity,23,"{""shrinkage"": null, ""solver"": ""svd""}",completed,,bbob_validation,64800,0.326904834000743,0.08063404099812033,0.000749625003663823,0.815528571439505,0.17429424829841753,0.4640292684462041,0.03783950617283951,0.004324970767963681,0.5610328332488974,0.3128058727569331,136.61090851096142
lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_null__solver_lsqr,lda_classifier,lda,"LinearDiscriminantAnalysis(solver='lsqr',shrinkage=None)",best_candidate,raw_primary_with_maturity,23,"{""shrinkage"": null, ""solver"": ""lsqr""}",completed,,bbob_train,194400,0.326904834000743,0.03692720900289714,0.0017858330029412173,0.800112169904256,0.19669029682443476,0.4640358807293222,0.01757201646090535,0.0003059268675674512,0.10412479844407485,0.32289227166276346,201.99687552692575
lda_classifier__raw_primary_with_maturity__best_candidate__shrinkage_null__solver_lsqr,lda_classifier,lda,"LinearDiscriminantAnalysis(solver='lsqr',shrinkage=None)",best_candidate,raw_primary_with_maturity,23,"{""shrinkage"": null, ""solver"": ""lsqr""}",completed,,bbob_validation,64800,0.326904834000743,0.03692720900289714,0.000640958001895342,0.815528571439505,0.17429424829841753,0.4640358807293222,0.03783950617283951,0.004324970767963681,0.5610328332488974,0.3128058727569331,136.61090851096142
