feature,fit_split,fit_rows,validation_rows_used_for_fit,strategy,imputer_statistic,train_raw_median,validation_raw_median,median_matches_train_split,train_null_count,validation_null_count
bf_fe_ratio,bbob_train,70033,0,median,0.34,0.34,0.34,True,0,0
bf_improvement_rate_w02,bbob_train,70033,0,median,2.102942407389953e-05,2.102942407389953e-05,2.7852904578277037e-05,True,0,0
bf_improvement_frequency_w02,bbob_train,70033,0,median,0.4,0.4,0.2,True,0,0
bf_diversity_mean_pairwise,bbob_train,70033,0,median,0.006857666455967044,0.006857666455967044,0.01063422668342597,True,0,0
bf_diversity_change_w05,bbob_train,70033,0,median,-0.5659403207590105,-0.5659403207590105,-0.26082729818025746,True,0,0
bf_covariance_spectral_concentration,bbob_train,70033,0,median,0.06606588774707091,0.06606588774707091,0.10314612984015081,True,0,0
bf_distance_decay_w10,bbob_train,70033,0,median,0.8010450244038126,0.8010450244038126,0.45768899081325365,True,0,0
bf_stagnation_w10,bbob_train,70033,0,median,0.03,0.03,0.04,True,0,0
bf_convergence_rate_w10,bbob_train,70033,0,median,7.991595117969739,7.991595117969739,4.552326108651361,True,0,0
bf_fitness_diversity_rel,bbob_train,70033,0,median,3.005670729735853e-06,3.005670729735853e-06,1.4986892710590985e-05,True,0,0
bf_population_wasserstein_rate_w05,bbob_train,70033,0,median,0.3638335845230313,0.3638335845230313,0.6483902019389921,True,0,0
bf_centroid_shift_rate_w05,bbob_train,70033,0,median,0.22684367740628075,0.22684367740628075,0.598815074696728,True,0,0
bf_centroid_shift_coherence_w05,bbob_train,70033,0,median,0.7343266703913367,0.7343266703913367,0.8217224063260411,True,0,0
bf_fitness_quantile_improvement_fraction_w02,bbob_train,70033,0,median,1.0,1.0,1.0,True,0,0
bf_fitness_distribution_improvement_rate_w02,bbob_train,70033,0,median,7.780344488803823e-05,7.780344488803823e-05,0.00010933519033699815,True,0,0
bf_fitness_wasserstein_rate_w02,bbob_train,70033,0,median,0.0003205355650700535,0.0003205355650700535,0.001874409771711054,True,0,0
bf_elite_concentration,bbob_train,70033,0,median,0.8694563875945478,0.8694563875945478,0.8928266173548739,True,0,0
bf_best_fitness_slope_w05,bbob_train,70033,0,median,-0.8594531715373754,-0.8594531715373754,-0.052368419705338676,True,0,0
bf_diversity_slope_w05,bbob_train,70033,0,median,-0.02972031653880652,-0.02972031653880652,-0.009489509172517735,True,0,0
bf_fitness_spread_slope_w05,bbob_train,70033,0,median,-4.4194844826370743e-05,-4.4194844826370743e-05,-1.9408265539937235e-05,True,0,0
bf_population_centroid_shift_w05,bbob_train,70033,0,median,0.011523511053594266,0.011523511053594266,0.030608708748960274,True,0,0
bf_elite_centroid_shift_w05,bbob_train,70033,0,median,0.011065969349418484,0.011065969349418484,0.030570146054048574,True,0,0
bf_covariance_trace_ratio_w05,bbob_train,70033,0,median,0.16609527106176897,0.16609527106176897,0.5284404454787958,True,0,0
bf_covariance_effective_rank_w05,bbob_train,70033,0,median,9.304947222430878,9.304947222430878,7.24582270133418,True,0,0
bf_diversity_recovery_w05,bbob_train,70033,0,median,0.0,0.0,0.0,True,0,0
bf_population_chamfer_distance_w05,bbob_train,70033,0,median,0.014312570531629203,0.014312570531629203,0.021026358352794483,True,0,0
bf_covariance_trace_change_w05,bbob_train,70033,0,median,-0.7945391026963274,-0.7945391026963274,-0.3668441154439536,True,0,0
bf_covariance_effective_rank_change_w05,bbob_train,70033,0,median,-0.028660952976958122,-0.028660952976958122,-0.0452401159378832,True,0,0
bf_search_maturity,bbob_train,70033,0,median,0.17281553819044623,0.17281553819044623,0.18318491567772344,True,0,0
bf_search_maturity_linear,bbob_train,70033,0,median,0.41729116864937454,0.41729116864937454,0.43240115349378927,True,0,0
bf_explore_exploit_ratio,bbob_train,70033,0,median,0.615929864119766,0.615929864119766,0.6473083612938734,True,0,0
